date,vaccines
2021-03-12,8863270
2021-03-11,8607142
2021-03-10,8337410
2021-03-09,8069645
2021-03-08,7830467
2021-03-07,7599865
2021-03-06,7450371
2021-03-05,7253333
2021-03-04,7000267
2021-03-03,6767187
2021-03-02,6533194
2021-03-01,6322062
2021-02-28,6132413
2021-02-27,6024064
2021-02-26,5877711
2021-02-25,5678159
2021-02-24,5496436
2021-02-23,5323117
2021-02-22,5162160
2021-02-21,5004651
2021-02-20,4919480
2021-02-19,4806637
2021-02-18,4657022
2021-02-17,4515717
2021-02-16,4368585
2021-02-15,4235009
2021-02-14,4110243
2021-02-13,4045312
2021-02-12,3939162
2021-02-11,3786071